Algorithm,Category,Others,Platform,Industry,Self-Reported Tags,no_lable
,"Substrate,Three Arrows Capital Portfolio,Polychain Capital Portfolio,Arrington XRP Capital Portfolio,Blockchain Capital Portfolio,BoostVC Portfolio,CMS Holdings Portfolio,Coinfund Portfolio,Fabric Ventures Portfolio,Fenbushi Capital Portfolio,Hashkey Capital Portfolio,Kenetic Capital Portfolio,1Confirmation Portfolio,Placeholder Ventures Portfolio,Pantera Capital Portfolio,Exnetwork Capital Portfolio,Spartan Group,Layer 1",,"Polkadot,Binance Chain,Polkadot Ecosystem,Injective Ecosystem,BNB Chain",Web3,,
,"DeFi,Stablecoin,Asset-Backed Stablecoin,USD Stablecoin",,"Ethereum Ecosystem,Avalanche Ecosystem,Polygon Ecosystem,Fantom Ecosystem,Arbitrum Ecosystem,Harmony Ecosystem,Moonriver Ecosystem,BNB Chain,Optimism Ecosystem",,,
PoS,"Platform,Zero Knowledge Proofs,Scaling,State Channel,Coinbase Ventures Portfolio,Layer 2,Binance Launchpad,Binance Labs Portfolio,FTX Bankruptcy Estate ,SEC Security Token,Alleged SEC Securities",,"Polygon Ecosystem,Moonriver Ecosystem,Injective Ecosystem",Enterprise Solutions,,
PoS,"FTX Bankruptcy Estate ,DWF Labs Portfolio,Toncoin Ecosystem",,,,,
"PoW,Scrypt",,Mineable,,Medium of Exchange,,
,,,,,,"Memes,Ethereum Ecosystem,Doggone Doggerel"
,DeFi,,"Wrapped Tokens,Fantom Ecosystem,Arbitrum Ecosystem,Moonriver Ecosystem,Optimism Ecosystem,Bitcoin Ecosystem",Medium of Exchange,,
"PoW,SHA-256","Store Of Value,Layer 1",Mineable,Bitcoin Ecosystem,"Marketplace,Medium of Exchange,Enterprise Solutions,Payments",,
,"Centralized Exchange (CEX) Token,Discount Token,Kenetic Capital Portfolio,Alameda Research Portfolio",,,"Marketplace,Payments",,
,"DeFi,Smart Contracts,Three Arrows Capital Portfolio,Polychain Capital Portfolio,CMS Holdings Portfolio,DragonFly Capital Portfolio,Layer 1",,"Avalanche Ecosystem,Moonriver Ecosystem,Injective Ecosystem",,,
,"Decentralized Exchange (DEX) Token,Smart Contracts,Hashkey Capital Portfolio",,,"Medium of Exchange,Enterprise Solutions",,
,"Platform,DeFi,Oracles,Smart Contracts,Substrate,Framework Ventures Portfolio,Real World Assets,Celsius Bankruptcy Estate",,"Polkadot,Polkadot Ecosystem,Avalanche Ecosystem,Solana Ecosystem,Polygon Ecosystem,Fantom Ecosystem,Cardano Ecosystem,Near Protocol Ecosystem,Arbitrum Ecosystem,Cardano,Injective Ecosystem,Optimism Ecosystem",Web3,,
,"Stablecoin,Asset-Backed Stablecoin,USD Stablecoin,Alleged SEC Securities,Linea Ecosystem",,"Binance Chain,Harmony Ecosystem,Moonriver Ecosystem,Optimism Ecosystem",,,
,"Store Of Value,Stablecoin,Asset-Backed Stablecoin,USD Stablecoin",,"Avalanche Ecosystem,Arbitrum Ecosystem,BNB Chain",,,
,"Decentralized Exchange (DEX) Token,DeFi,DAO,Yield Farming,AMM,Coinbase Ventures Portfolio,Three Arrows Capital Portfolio,Governance,Blockchain Capital Portfolio,DeFiance Capital Portfolio,Alameda Research Portfolio,a16z Portfolio,Pantera Capital Portfolio,ParaFi Capital,Paradigm Portfolio",,"Arbitrum Ecosystem,Injective Ecosystem,Optimism Ecosystem",,,
PoW,"Privacy,RingCT,BoostVC Portfolio,Electric Capital Portfolio,Galaxy Digital Portfolio",Mineable,,Medium of Exchange,,
,"Centralized Exchange (CEX) Token,Discount Token,Alameda Research Portfolio",,,Marketplace,,
,"Platform,Interoperability,Polychain Capital Portfolio,DragonFly Capital Portfolio,Hashkey Capital Portfolio,1Confirmation Portfolio,Paradigm Portfolio,Exnetwork Capital Portfolio,SEC Security Token,Alleged SEC Securities",,"Cosmos Ecosystem,Injective Ecosystem",Content Creation,,
"PoW,Ethash","Platform,Smart Contracts,DCG Portfolio",Mineable,,,,
DAG,"DCG Portfolio,Layer 1",,Hedera Hashgraph Ecosystem,"Marketplace,Enterprise Solutions,Payments",,
,"Platform,Collectibles & NFTs,DeFi,Interoperability,Smart Contracts,DAO,Wallet,Storage,Polychain Capital Portfolio,Launchpad,Lending & Borrowing,Metaverse,Electric Capital Portfolio,Fenbushi Capital Portfolio,Hashkey Capital Portfolio,a16z Portfolio,Multicoin Capital Portfolio,Exnetwork Capital Portfolio,SEC Security Token,Alleged SEC Securities",,"Internet Computer Ecosystem,Bitcoin Ecosystem","Distributed Computing,Web3",,
,"Storage,Polychain Capital Portfolio,Blockchain Capital Portfolio,BoostVC Portfolio,DCG Portfolio,Hashkey Capital Portfolio,a16z Portfolio,Winklevoss Capital Portfolio,Pantera Capital Portfolio,SEC Security Token,Alleged SEC Securities",Mineable,Filecoin Ecosystem,"Distributed Computing,Filesharing,Web3",,
,,,,,,"Ethereum Ecosystem,Layer 2,DWF Labs Portfolio"
,"DeFi,DAO,Three Arrows Capital Portfolio,Paradigm Portfolio,Liquid Staking Derivatives",,"Arbitrum Ecosystem,Optimism Ecosystem",,,
,Centralized Exchange (CEX) Token,,"Cosmos Ecosystem,Injective Ecosystem","Medium of Exchange,Mobile,Payments",,
,"Binance Labs Portfolio,Circle Ventures Portfolio,Layer 1,FTX Bankruptcy Estate ",,Aptos Ecosystem,,,
,,,,,,"Platform,Interoperability"
,"Scaling,DAO,DApp,Polychain Capital Portfolio,Layer 2,Rollups,Pantera Capital Portfolio",,"Ethereum Ecosystem,Arbitrum Ecosystem",,,
,"Smart Contracts,Fenbushi Capital Portfolio",,,"Logistics,Data Provenance,IoT",,
,"Platform,Staking,Coinbase Ventures Portfolio,Three Arrows Capital Portfolio,Arrington XRP Capital Portfolio,Coinfund Portfolio,Electric Capital Portfolio,Fabric Ventures Portfolio,Kenetic Capital Portfolio,Circle Ventures Portfolio,SEC Security Token,Alleged SEC Securities",,"Near Protocol Ecosystem,Injective Ecosystem",,,
,,,,,,"Layer 2,Optimism Ecosystem"
,"Store Of Value,DeFi,DAO,Polychain Capital Portfolio,Governance,Lending & Borrowing,DragonFly Capital Portfolio,Electric Capital Portfolio,a16z Portfolio,1Confirmation Portfolio,Placeholder Ventures Portfolio,Pantera Capital Portfolio,Paradigm Portfolio,Spartan Group,Real World Assets",,"Near Protocol Ecosystem,Arbitrum Ecosystem,BNB Chain",,,
,"DeFi,DAO,Yield Farming,Three Arrows Capital Portfolio,Governance,Lending & Borrowing,Blockchain Capital Portfolio,DeFiance Capital Portfolio,Framework Ventures Portfolio,Alameda Research Portfolio,Pantera Capital Portfolio,ParaFi Capital",,"Polygon Ecosystem,Fantom Ecosystem,Optimism Ecosystem",,,
,"DeFi,Coinbase Ventures Portfolio,Analytics,Coinfund Portfolio,DCG Portfolio,Fabric Ventures Portfolio,Framework Ventures Portfolio,LedgerPrime Portfolio,Multicoin Capital Portfolio,ParaFi Capital,Spartan Group",,"Solana Ecosystem,Polygon Ecosystem,Fantom Ecosystem,Near Protocol Ecosystem,Arbitrum Ecosystem,Injective Ecosystem","AI & Big Data,Enterprise Solutions,Web3",,
PoS,"Platform,Smart Contracts,Arrington XRP Capital Portfolio,Kenetic Capital Portfolio,USV Portfolio,Multicoin Capital Portfolio,Exnetwork Capital Portfolio,Layer 1,DWF Labs Portfolio,SEC Security Token,Alleged SEC Securities",,,Research,,
,"Smart Contracts,Layer 1",,XDC Ecosystem,Enterprise Solutions,,
,"Stablecoin,Algorithmic Stablecoin,USD Stablecoin",,Arbitrum Ecosystem,,,
,"Collectibles & NFTs,Binance Launchpad,Metaverse,DeFiance Capital Portfolio,Play To Earn,Animoca Brands Portfolio,SEC Security Token,Alleged SEC Securities",,,Gaming,,
,"Collectibles & NFTs,Binance Launchpad,Metaverse,Play To Earn,Animoca Brands Portfolio,SEC Security Token,Alleged SEC Securities",,Ethereum Ecosystem,"Content Creation,Gaming",,
PoS,"Platform,Collectibles & NFTs,DeFi,Smart Contracts,Polychain Capital Portfolio,BoostVC Portfolio,Winklevoss Capital Portfolio,Layer 1",,,Enterprise Solutions,,
,"Platform,Collectibles & NFTs,DeFi,Smart Contracts,Metaverse,Arrington XRP Capital Portfolio,Blockchain Capital Portfolio,DCG Portfolio,Fabric Ventures Portfolio,Hashkey Capital Portfolio,Huobi Capital Portfolio,USV Portfolio",Mineable,"Injective Ecosystem,Bitcoin Ecosystem",Web3,,
,"Binance Launchpad,Binance Labs Portfolio,Electric Capital Portfolio,Exnetwork Capital Portfolio,Layer 1,DWF Labs Portfolio",,"Elrond Ecosystem,Injective Ecosystem,BNB Chain",,,
,"Smart Contracts,Fenbushi Capital Portfolio,Galaxy Digital Portfolio,DWF Labs Portfolio",,EOS,"Medium of Exchange,Enterprise Solutions",,
,"Collectibles & NFTs,DeFi,Metaverse,Huobi Capital Portfolio",,,"Media,Content Creation,Video,Web3",,
,"Collectibles & NFTs,Zero Knowledge Proofs,Scaling,Layer 2,Rollups,Arrington XRP Capital Portfolio,Alameda Research Portfolio",,,Gaming,,
PoS,"Platform,DeFi,Smart Contracts,Binance Launchpad,Binance Labs Portfolio,CMS Holdings Portfolio,Pantera Capital Portfolio",,"Cosmos Ecosystem,Cosmos,BNB Smart Chain","AI & Big Data,Web3",,
,"Platform,DeFi,Scaling,Smart Contracts,Layer 1",,"Fantom Ecosystem,Injective Ecosystem","Enterprise Solutions,Research",,
"PoW,SHA-256","Store Of Value,State Channel",Mineable,Bitcoin Ecosystem,Medium of Exchange,,
,"Platform,Collectibles & NFTs,Metaverse,BoostVC Portfolio,DCG Portfolio,Fabric Ventures Portfolio,Kenetic Capital Portfolio,Play To Earn,SEC Security Token,Alleged SEC Securities",,Polygon Ecosystem,"Gaming,Payments",,
,"Decentralized Exchange (DEX) Token,DeFi,Derivatives,DAO,Yield Farming,Coinbase Ventures Portfolio,Three Arrows Capital Portfolio,Governance,DeFiance Capital Portfolio,Framework Ventures Portfolio,Alameda Research Portfolio,ParaFi Capital,Paradigm Portfolio,Spartan Group,Real World Assets,DWF Labs Portfolio,Celsius Bankruptcy Estate",,"Synthetics,Fantom Ecosystem,BNB Chain,Optimism Ecosystem",Services,,
,"Collectibles & NFTs,Scaling,Metaverse,Alameda Research Portfolio,Multicoin Capital Portfolio",,"Ethereum Ecosystem,Solana Ecosystem,Polygon Ecosystem","Art,Media,VR/AR,AI & Big Data,Distributed Computing,Gaming,Video,Web3",,
,"Collectibles & NFTs,DAO,Governance,Metaverse,Animoca Brands Portfolio",,,"Content Creation,Gaming,Entertainment",,
,"Store Of Value,Stablecoin,Asset-Backed Stablecoin,USD Stablecoin",,BNB Chain,,,
,,,,,,"Platform,Enterprise Solutions,Smart Contracts"
,"Decentralized Exchange (DEX) Token,DeFi,DEX,Multicoin Capital Portfolio,Exnetwork Capital Portfolio",,"Cosmos Ecosystem,Injective Ecosystem",,,
,"DeFi,Binance Launchpad,Binance Labs Portfolio,Lending & Borrowing,Arrington XRP Capital Portfolio,Framework Ventures Portfolio,Hashkey Capital Portfolio,DWF Labs Portfolio",,"Cosmos Ecosystem,Injective Ecosystem",,,
,,,,,,"BNB Chain,Tokenized Gold"
,,,,,,Tokenized Gold
,,,,,,Layer 1
,"Platform,Collectibles & NFTs,Staking,Coinbase Ventures Portfolio,Coinfund Portfolio,DCG Portfolio,LedgerPrime Portfolio,a16z Portfolio,Animoca Brands Portfolio,Layer 1,SEC Security Token,Alleged SEC Securities",,,,,
,,,,,,"DeFi,Liquid Staking Derivatives"
,"Collectibles & NFTs,Layer 1,SEC Security Token,Alleged SEC Securities",,,"Sports,Content Creation,Payments",,
,"Collectibles & NFTs,Play To Earn,DWF Labs Portfolio",,"BNB Smart Chain,Polygon Ecosystem",Gaming,,
,,,,,,"Platform,Enterprise Solutions,Injective Ecosystem"
,"Centralized Exchange (CEX) Token,Discount Token",,Algorand Ecosystem,Marketplace,,
,"DeFi,Seigniorage,Exnetwork Capital Portfolio,Liquid Staking Derivatives",,"Avalanche Ecosystem,Olympus Pro Ecosystem,Arbitrum Ecosystem",,,
DAG,DWF Labs Portfolio,,,"Medium of Exchange,IoT,Sharing Economy",,
"PoW,Equihash","Privacy,Zero Knowledge Proofs,BoostVC Portfolio,DCG Portfolio,Electric Capital Portfolio,Fenbushi Capital Portfolio,Hashkey Capital Portfolio,Winklevoss Capital Portfolio,Placeholder Ventures Portfolio,Pantera Capital Portfolio",Mineable,"Binance Chain,BNB Chain",Medium of Exchange,,
,"Arrington XRP Capital Portfolio,Hashkey Capital Portfolio,OKEx Blockdream Ventures Portfolio",,,"Enterprise Solutions,Web3",,
,"Binance Launchpool,Coinbase Ventures Portfolio,Binance Labs Portfolio,Electric Capital Portfolio,a16z Portfolio,Layer 1",,,,,
,"Centralized Exchange (CEX) Token,Discount Token,Kenetic Capital Portfolio,Alameda Research Portfolio,Multicoin Capital Portfolio",,Algorand Ecosystem,"Marketplace,Payments",,
,"Platform,Interoperability,Staking,Storage,Binance Launchpad,Binance Labs Portfolio,SEC Security Token,Alleged SEC Securities",,"TRON Ecosystem,BNB Chain","Distributed Computing,Filesharing,Web3",,
,"Decentralized Exchange (DEX) Token,DeFi,DAO,Yield Farming,AMM,Governance,Framework Ventures Portfolio,Alameda Research Portfolio,DWF Labs Portfolio",,"Polygon Ecosystem,Fantom Ecosystem,Arbitrum Ecosystem,Optimism Ecosystem",,,
"PoW,Hybrid - PoW & DPoS","Platform,Collectibles & NFTs,DeFi,Smart Contracts,Staking,Huobi Capital Portfolio,DWF Labs Portfolio",Mineable,"Injective Ecosystem,BNB Chain","Payments,Research,Web3",,
PoS,"Zero Knowledge Proofs,Staking,Coinbase Ventures Portfolio,Three Arrows Capital Portfolio,Polychain Capital Portfolio",,,,,
,"Centralized Exchange (CEX) Token,Discount Token,FTX Bankruptcy Estate ",,Algorand Ecosystem,Marketplace,,
,"Store Of Value,DeFi,Coinbase Ventures Portfolio,Binance Labs Portfolio,Arrington XRP Capital Portfolio,Hashkey Capital Portfolio,Kenetic Capital Portfolio,Huobi Capital Portfolio,Pantera Capital Portfolio,SEC Security Token,Alleged SEC Securities",,"Cosmos Ecosystem,Solana Ecosystem,Terra Ecosystem,Injective Ecosystem",Payments,,
,,,,,,"Wallet,Polygon Ecosystem,BNB Chain"
,,,,,,Memes
,"DeFi,Derivatives,Zero Knowledge Proofs,Three Arrows Capital Portfolio,Paradigm Portfolio,Spartan Group",,,,,
,"DeFi,DAO,Yield Farming,Coinbase Ventures Portfolio,Three Arrows Capital Portfolio,Polychain Capital Portfolio,Lending & Borrowing,DragonFly Capital Portfolio,Alameda Research Portfolio,a16z Portfolio,Pantera Capital Portfolio,Paradigm Portfolio",,"Arbitrum Ecosystem,BNB Chain",,,
,Alleged SEC Securities,,Cardano Ecosystem,"Services,Payments",,
,"Derivatives,DEX",,"Avalanche Ecosystem,Arbitrum Ecosystem",,,
,,,,,,"Memes,Doggone Doggerel"
,,,,,,"Art,Collectibles & NFTs,TRON Ecosystem"
,"Centralized Exchange (CEX) Token,Three Arrows Capital Portfolio,Exnetwork Capital Portfolio,MVB,VBC Ventures Portfolio",,"Polygon Ecosystem,Arbitrum Ecosystem,Injective Ecosystem,BNB Chain",,,
,"Store Of Value,Stablecoin,Asset-Backed Stablecoin,USD Stablecoin",,,,,
,,,,,,DWF Labs Portfolio
,OKEx Blockdream Ventures Portfolio,,"Polkadot,Polkadot Ecosystem",,,
"Hybrid - PoW & PoS,X11","Privacy,Masternodes,DAO,Governance,Alleged SEC Securities",Mineable,,Medium of Exchange,,
,,,"Cosmos Ecosystem,Injective Ecosystem","AI & Big Data,Distributed Computing,Web3",,
,"Collectibles & NFTs,Decentralized Exchange (DEX) Token,DeFi,Smart Contracts,Yield Farming,AMM,DEX,Governance",,"BNB Smart Chain,Aptos Ecosystem",,,
,,,,,,"Marketplace,Centralized Exchange (CEX) Token,Discount Token"
,"Storage,Coinbase Ventures Portfolio,Arrington XRP Capital Portfolio,Blockchain Capital Portfolio,a16z Portfolio,Multicoin Capital Portfolio",,Solana Ecosystem,"Distributed Computing,Filesharing,Web3",,
,"Platform,Smart Contracts,Polychain Capital Portfolio,Metaverse,Kenetic Capital Portfolio",Mineable,"Zilliqa Ecosystem,BNB Chain",Payments,,
,"Collectibles & NFTs,DeFi,Privacy,Scaling,Smart Contracts,Polychain Capital Portfolio,Binance Labs Portfolio,Arrington XRP Capital Portfolio,Blockchain Capital Portfolio,DragonFly Capital Portfolio,Electric Capital Portfolio,Kenetic Capital Portfolio,Huobi Capital Portfolio,a16z Portfolio,Winklevoss Capital Portfolio,Pantera Capital Portfolio",,"Cosmos Ecosystem,Injective Ecosystem",AI & Big Data,,
,"Decentralized Exchange (DEX) Token,DeFi,Prediction Markets,Kenetic Capital Portfolio",,Arbitrum Ecosystem,Services,,
,"DeFi,DCG Portfolio,1Confirmation Portfolio,Pantera Capital Portfolio",,BNB Chain,"Marketing,Content Creation,Payments,Web3",,
,"Wallet,Binance Launchpad",,"Ethereum Ecosystem,Injective Ecosystem,BNB Chain",,,
,"Decentralized Exchange (DEX) Token,DeFi,Wallet,AMM,Binance Labs Portfolio,Blockchain Capital Portfolio,DragonFly Capital Portfolio,Fabric Ventures Portfolio,Alameda Research Portfolio,ParaFi Capital,Spartan Group,Celsius Bankruptcy Estate",,BNB Chain,,,
,"Coinbase Ventures Portfolio,Multicoin Capital Portfolio,Layer 1,Jump Crypto,SEI Ecosystem",,,,,
,,,,,,
,"Decentralized Exchange (DEX) Token,DeFi,Zero Knowledge Proofs,Scaling,Smart Contracts,Wallet,AMM,DEX,Layer 2,Rollups,Red Packets ,Token",,"Ethereum Ecosystem,Arbitrum Ecosystem","Marketplace,Web3",,
,"Collectibles & NFTs,Metaverse,Arrington XRP Capital Portfolio",,Ethereum Ecosystem,"Media,Gaming",,
,"USV Portfolio,Multicoin Capital Portfolio",Mineable,,"Enterprise Solutions,Distributed Computing,IoT,Web3",,
,"Platform,Smart Contracts,Kenetic Capital Portfolio",,Bitcoin Ecosystem,,,
,"DAO,Governance",,,Web3,,
PoI,Smart Contracts,,Fantom Ecosystem,"Medium of Exchange,Payments",,
,,Mineable,Bitcoin Ecosystem,"Medium of Exchange,Payments",,
,Cross-Chain DEX Aggregator,,,"Marketplace,AI & Big Data,Payments",,
,,,,,,"DeFi,Yield Aggregator"
,"Collectibles & NFTs,Metaverse,Animoca Brands Portfolio,DWF Labs Portfolio",,"Ethereum Ecosystem,Polygon Ecosystem,Injective Ecosystem,BNB Chain","Communications & Social Media,Content Creation,Web3",,
PoS,"Zero Knowledge Proofs,Smart Contracts,Coinbase Ventures Portfolio,Polychain Capital Portfolio,DragonFly Capital Portfolio,Electric Capital Portfolio,a16z Portfolio,DWF Labs Portfolio",,Celo Ecosystem,"Mobile,Payments",,
,DeFi,,,"Media,Content Creation,Payments",,
"Hybrid - PoW & PoS,BLAKE256","Store Of Value,Privacy,DAO,Placeholder Ventures Portfolio",Mineable,,Medium of Exchange,,
,"Platform,DeFi,Staking,Substrate,Pantera Capital Portfolio,Liquid Staking Derivatives",,"Cosmos Ecosystem,Polygon Ecosystem,Celo Ecosystem,Injective Ecosystem,BNB Chain","Enterprise Solutions,Filesharing",,
PoW,Platform,Mineable,,Crowdfunding,,
,,,,,,"Cosmos Ecosystem,Injective Ecosystem"
,"Platform,DeFi,DAO,Substrate,Storage,DCG Portfolio,Fabric Ventures Portfolio",,"Polygon Ecosystem,Injective Ecosystem","AI & Big Data,Filesharing,Web3",,
,"DeFi,DAO,Yield Farming,Yield Aggregator,Yearn Partnerships,Three Arrows Capital Portfolio,Polychain Capital Portfolio,Governance,Blockchain Capital Portfolio,Framework Ventures Portfolio,Alameda Research Portfolio,ParaFi Capital",,"Fantom Ecosystem,Arbitrum Ecosystem,BNB Chain",,,
,"Coinfund Portfolio,DCG Portfolio,Pantera Capital Portfolio,Multicoin Capital Portfolio",,Arbitrum Ecosystem,Web3,,
,"Platform,Storage",,,"Distributed Computing,Filesharing",,
,,,,,,"DeFi,TRON Ecosystem"
,"Collectibles & NFTs,Binance Launchpad,Move To Earn",,"BNB Smart Chain,Solana Ecosystem,BNB Chain",Gaming,,
,"Decentralized Exchange (DEX) Token,DeFi,DAO,Yield Farming,AMM,Three Arrows Capital Portfolio,Governance,Coinfund Portfolio,Alameda Research Portfolio,Placeholder Ventures Portfolio,Pantera Capital Portfolio",,"Near Protocol Ecosystem,Arbitrum Ecosystem,Optimism Ecosystem,Base Ecosystem",,,
,"Arrington XRP Capital Portfolio,Huobi Capital Portfolio",,BNB Chain,"Marketplace,Enterprise Solutions",,
,"Collectibles & NFTs,Binance Launchpad,DWF Labs Portfolio",,"Cosmos Ecosystem,Injective Ecosystem","AI & Big Data,IoT,Web3",,
,,,,,,Collectibles & NFTs
LPoS,"Platform,Smart Contracts,DWF Labs Portfolio",,,,,
,Platform,,Polygon Ecosystem,"Distributed Computing,Payments,Web3",,
,"Platform,DAO,Governance,BoostVC Portfolio,Placeholder Ventures Portfolio",,Ethereum Ecosystem,"Enterprise Solutions,Web3",,
,"DAO,Coinbase Ventures Portfolio,Binance Labs Portfolio,Pantera Capital Portfolio,Multicoin Capital Portfolio",,Solana Ecosystem,"Music,Web3",,
,,,,,,"IoT,Ethereum Ecosystem,DWF Labs Portfolio"
,"Metaverse,Doggone Doggerel,Play To Earn,DWF Labs Portfolio",,BNB Chain,"Gaming,Memes",,
,,,,,,Bitcoin Ecosystem
,"Platform,Interoperability,Smart Contracts,Kenetic Capital Portfolio,Pantera Capital Portfolio",,,Enterprise Solutions,,
,"Substrate,CMS Holdings Portfolio,Kenetic Capital Portfolio,1Confirmation Portfolio,VBC Ventures Portfolio",,Polkadot Ecosystem,,,
"PoW,Blake2b","Platform,Storage,DragonFly Capital Portfolio,Fenbushi Capital Portfolio,Paradigm Portfolio",Mineable,Near Protocol Ecosystem,"Distributed Computing,Filesharing,Web3",,
,"Privacy,Zero Knowledge Proofs,Governance,Blockchain Capital Portfolio,a16z Portfolio,Token",,"Ethereum Ecosystem,Optimism Ecosystem",Identity,,
,"DeFi,Wallet,Binance Labs Portfolio,Alameda Research Portfolio",,BNB Chain,"Medium of Exchange,Payments",,
,,,,,,Alleged SEC Securities
,"Collectibles & NFTs,DAO,Metaverse,Play To Earn",,,Gaming,,
DPoS,Scaling,,,"Media,Content Creation,Web3",,
,"Platform,Decentralized Exchange (DEX) Token,DeFi,Scaling,DAO,Substrate,Polychain Capital Portfolio,Governance,Blockchain Capital Portfolio,BoostVC Portfolio,Fabric Ventures Portfolio,Kenetic Capital Portfolio,Placeholder Ventures Portfolio,Pantera Capital Portfolio,Celsius Bankruptcy Estate",,"Polkadot,Polkadot Ecosystem",,,
,,,,,,PoW
,"Metaverse,Huobi Capital Portfolio",,"Fantom Ecosystem,Near Protocol Ecosystem,BNB Chain","Enterprise Solutions,Identity,Web3",,
,,,,,,
,"Smart Contracts,Substrate,Binance Labs Portfolio,Arrington XRP Capital Portfolio",,"Polkadot,Polkadot Ecosystem,Injective Ecosystem",,,
,,,,,,"Hardware,IoT,Huobi Capital Portfolio"
,"DeFi,Oracles,Binance Launchpad,Binance Labs Portfolio,Spartan Group",,"Cosmos Ecosystem,Binance Chain,Solana Ecosystem,Polygon Ecosystem,Fantom Ecosystem,Near Protocol Ecosystem,Injective Ecosystem,BNB Chain",Web3,,
,"Platform,Interoperability,Coinbase Ventures Portfolio,Binance Labs Portfolio,Fenbushi Capital Portfolio,MVB",,,,,
,"Platform,Scaling,Smart Contracts,Binance Launchpad,Binance Labs Portfolio,Hashkey Capital Portfolio",,"Harmony Ecosystem,Injective Ecosystem,BNB Chain",Enterprise Solutions,,
,"Collectibles & NFTs,Metaverse,Galaxy Digital Portfolio,Kenetic Capital Portfolio,Play To Earn,OKEx Blockdream Ventures Portfolio",,,"Media,Gaming,Entertainment,Payments",,
,"Collectibles & NFTs,Decentralized Exchange (DEX) Token,DeFi,DAO,Yield Farming,AMM,Yearn Partnerships,Governance,Metaverse,Blockchain Capital Portfolio,DeFiance Capital Portfolio,Alameda Research Portfolio,Pantera Capital Portfolio",,"Avalanche Ecosystem,Polygon Ecosystem,Fantom Ecosystem,Arbitrum Ecosystem,Harmony Ecosystem,Injective Ecosystem,BNB Chain",,,
,"Interoperability,Coinbase Ventures Portfolio,Polychain Capital Portfolio,Binance Labs Portfolio,Galaxy Digital Portfolio,SEI Ecosystem",,"Ethereum Ecosystem,Base Ecosystem",,,
,"Platform,Hashkey Capital Portfolio,Kenetic Capital Portfolio",,"IoTeX Ecosystem,BNB Chain",IoT,,
,Metaverse,,Arbitrum Ecosystem,Gaming,,
,"Binance Launchpool,Governance,Play To Earn,Token,Gaming Guild,Spartan Group,DWF Labs Portfolio",,,Gaming,,
